name,start datetime,venue names,attractions names,public start datetime,public end datetime,presales start datetime,presales end datetime,url,artist,id,price ranges,ticket limit,timezone,TBA,TBD
Lady Gaga: The Chromatica Ball,2022-08-26 16:30:00,Truist Park,Lady Gaga,2022-03-14 07:00:00,2022-08-26 18:30:00,"2022-03-08 07:00:00, 2022-03-10 07:00:00, 2022-03-14 07:00:00, 2022-03-08 07:00:00, 2022-03-10 07:00:00, 2022-03-10 12:00:00, 2022-03-08 07:00:00, 2022-03-14 07:00:00","2022-03-11 14:00:00, 2022-03-11 14:00:00, 2022-08-16 14:00:00, 2022-03-11 14:00:00, 2022-03-11 14:00:00, 2022-03-11 14:00:00, 2022-03-11 14:00:00, 2022-08-26 18:30:00",https://www.ticketmaster.com/lady-gaga-the-chromatica-ball-atlanta-georgia-08-26-2022/event/0E005B359AA8212E,K8vZ917Go7V,vvG1zZpSpQne7m,"min: 70.0 USD, max: 1505.0 USD",There is an eight (8) ticket limit for this event.,America/New_York,False,False
Lady Gaga,2022-08-15 17:30:00,Wrigley Field,Lady Gaga,2020-03-16 08:00:00,2022-08-15 17:30:00,,,https://www.ticketmaster.com/event/Z7r9jZ1AdAgFK,K8vZ917Go7V,Z7r9jZ1AdAgFK,,,,False,False
Lady Gaga,2022-08-19 16:30:00,Fenway Park,Lady Gaga,2020-03-16 07:00:00,2022-08-19 16:30:00,,,https://www.ticketmaster.com/event/Z7r9jZ1AdAgF3,K8vZ917Go7V,Z7r9jZ1AdAgF3,,,,False,False
Lady Gaga The Chromatica Ball,2022-08-08 16:30:00,Nationals Park,Lady Gaga,2022-03-14 07:00:00,2022-08-08 16:30:00,,,https://www.ticketmaster.com/event/Z7r9jZ1AdC_7y,K8vZ917Go7V,Z7r9jZ1AdC_7y,,,,False,False
LADY GAGA JAZZ & PIANO,2022-05-01 20:00:00,Dolby Live,Lady Gaga,2022-02-04 10:00:00,2022-05-01 20:00:00,"2022-02-01 10:00:00, 2022-02-01 10:00:00, 2022-02-02 10:00:00, 2022-02-02 10:00:00, 2022-02-04 10:00:00, 2022-02-01 10:00:00, 2022-02-04 10:00:00","2022-02-03 22:00:00, 2022-02-03 22:00:00, 2022-02-03 22:00:00, 2022-02-03 22:00:00, 2022-05-01 20:00:00, 2022-02-03 22:00:00, 2022-03-17 22:00:00",https://www.ticketmaster.com/lady-gaga-jazz-piano-las-vegas-nevada-05-01-2022/event/2E005C38B69D0E8B,K8vZ917Go7V,G5ezZ9dxUE8B5,"min: 83.57 USD, max: 556.05 USD",There is an overall 8 ticket limit for this event.,America/Los_Angeles,False,False
LADY GAGA JAZZ & PIANO,2022-04-30 20:00:00,Dolby Live,Lady Gaga,2022-02-04 10:00:00,2022-04-30 20:00:00,"2022-02-01 10:00:00, 2022-02-01 10:00:00, 2022-02-02 10:00:00, 2022-02-02 10:00:00, 2022-02-04 10:00:00, 2022-02-01 10:00:00, 2022-02-04 10:00:00","2022-02-03 22:00:00, 2022-02-03 22:00:00, 2022-02-03 22:00:00, 2022-02-03 22:00:00, 2022-04-30 20:00:00, 2022-02-03 22:00:00, 2022-03-17 22:00:00",https://www.ticketmaster.com/lady-gaga-jazz-piano-las-vegas-nevada-04-30-2022/event/2E005C38B69A0E6A,K8vZ917Go7V,G5ezZ9dxUJOyn,"min: 83.57 USD, max: 556.05 USD",There is an overall 8 ticket limit for this event.,America/Los_Angeles,False,False
LADY GAGA JAZZ & PIANO,2022-04-28 20:00:00,Dolby Live,Lady Gaga,2022-02-04 10:00:00,2022-04-28 20:00:00,"2022-02-01 10:00:00, 2022-02-01 10:00:00, 2022-02-02 10:00:00, 2022-02-02 10:00:00, 2022-02-04 10:00:00, 2022-02-01 10:00:00, 2022-02-04 10:00:00","2022-02-03 22:00:00, 2022-02-03 22:00:00, 2022-02-03 22:00:00, 2022-02-03 22:00:00, 2022-04-28 20:00:00, 2022-02-03 22:00:00, 2022-03-17 22:00:00",https://www.ticketmaster.com/lady-gaga-jazz-piano-las-vegas-nevada-04-28-2022/event/2E005C38B6840DF6,K8vZ917Go7V,G5ezZ9dxU-ZMU,"min: 83.57 USD, max: 650.0 USD",There is an overall 8 ticket limit for this event.,America/Los_Angeles,False,False
Lady Gaga | VIP Party,2022-07-17 10:30:00,,Lady Gaga,2022-03-14 02:00:00,2022-07-12 01:00:00,,,https://www.ticketmaster.de/event/lady-gaga-%7C-vip-party-tickets/450711?language=en-us,K8vZ917Go7V,Z698xZC2Z17o8jo,"min: 142.94 USD, max: 142.94 USD",,Europe/Berlin,False,False
Lady Gaga,2022-07-17 10:30:00,,Lady Gaga,2022-03-14 02:00:00,2022-07-17 10:30:00,,,https://www.ticketmaster.de/event/lady-gaga-tickets/445211?language=en-us,K8vZ917Go7V,Z698xZC2Z17oAFo,"min: 62.89 USD, max: 536.3 USD",,Europe/Berlin,False,False
Lady Gaga | Hot Ticket,2022-07-26 10:00:00,Gelredome,Lady Gaga,2022-03-11 03:00:00,2022-07-12 14:59:00,,,https://www.ticketmaster.nl/event/lady-gaga-%7C-hot-ticket-tickets/279285?language=en-us,K8vZ917Go7V,Z698xZbpZ17ay1A,"min: 287.02 USD, max: 287.02 USD",,Europe/Amsterdam,False,False
