Date,User,Tweet,Discord,Url
2022-03-01 10:20:59,abhiaayahai,"@manishalakhe ""I don’t understand why they made Vikrant Massey play ... everything or someone who grins mindlessly"" This line is a bit off as we trying to neglect the background he comes from, how he felt he is a second class citizen as @anupamachopra said",,https://twitter.com/abhiaayahai/status/1498604203073150976
2022-03-01 10:17:07,Imran72040162,@izzywestbury Who send guptil wife a fake email was Indian \nWhe send aston eager wife threat it is Indian \nIndia involved politic in cricket \nWe want to play with India \nWhy they Don't \nOk if they Don't want play with Pakistan becoz reason but what happened to that reason in world cup,,https://twitter.com/Imran72040162/status/1498603229784981507
2022-03-01 10:16:21,sunfl0werwalls_,"RT @rtlwtnouis: Flipping him off, throwing things at him, bringing Larry signs to his shows, singing other songs before/after his shows, is…",,https://twitter.com/sunfl0werwalls_/status/1498603038076018697
2022-03-01 10:16:05,NOTJohnnyACE562,RT @Cheamane: The Game is going viral for down playing Dr. Dre's role in his career compared to his recent interactions with Kanye.\n\nThere'…,,https://twitter.com/NOTJohnnyACE562/status/1498602971524784131
2022-03-01 10:15:34,RadioOceanCity1,@U2 - Pride In The Name Of Love  Now playing on Radio Ocean City\n\nFree Internet Radio from Ocean City MD\n\nListen * Like * Follow * Share \n\nAlexa Play Radio Ocean City\n\nhttps://t.co/zKUHLPYe6M \n\n#internetradio #oceancitymaryland #beachvibes #U2 - Pride In The Name Of Love,,https://twitter.com/RadioOceanCity1/status/1498602841581264900
2022-03-01 10:15:10,show_savvy,My wife asked me why don't you treat me like you did when we were dating so I took her for dinner and a movie then dropped her of at her parents house while I went to the pub,,https://twitter.com/show_savvy/status/1498602741517672450
2022-03-01 10:14:42,AngeliaMOutley1,"@rickross305 ,Why don't you come on down to Houston, Tx.We are having our Live Stock https://t.co/UyZT7kzYJG can buy livestock and HELP one of our Houston kids to go to college. With have different venues,different good foods and it's a good show.People come all over the USA to",,https://twitter.com/AngeliaMOutley1/status/1498602621610962945
2022-03-01 10:13:32,NSejaRud,"@Ahiana8 @_VM2001 Gypsy e nigg* devem ter o mesmo peso sim. Deve ser por isso que a Miley saiu em turnê com a Gypsy heart tour, a Shakira tem musica com esse nome e existem várias séries com esse termo que ela usou pra falar da Wanda que em uma das suas origens era d uma família cigana.",,https://twitter.com/NSejaRud/status/1498602327586000896
2022-03-01 10:11:53,WolfGang_Swank,RT @Cheamane: The Game is going viral for down playing Dr. Dre's role in his career compared to his recent interactions with Kanye.\n\nThere'…,,https://twitter.com/WolfGang_Swank/status/1498601912689696772
2022-03-01 10:11:41,DESIFOTOLISBOA,Now playing Discotheque (New Mix) by U2!,,https://twitter.com/DESIFOTOLISBOA/status/1498601864006410244
